Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5363,VT,3.44,21296.0,07/16/2010,
5667,VT,3.44,31237.87,02/17/2011,
5488,VT,3.45,29327,7-12-2007,
5346,VT,3.45,0.0,12/29/2010,
5055,VT,3.45,22358.24,11/16/2011,
5346,VT,3.45,22325.0,5-10-2011,
5346,VT,3.45,22325.0,5-9-2011,
5346,VT,3.45,22117.0,2-3-2011,
5001,VT,3.5,24475,10-7-2009,
5602,VT,3.5,20428.0,12-2-2011,
5155,VT,3.5,20280.0,6-7-2012,
5344,VT,3.51,22164.49,06/30/2010,
5055,VT,3.52,28412,12-10-2007,
5478,VT,3.52,34840,04/20/2006,
5001,VT,3.52,22669.75,7-2-2004,
5462,VT,3.52,20000.0,09/13/2011,
5346,VT,3.52,27990.0,01/13/2012,
5055,VT,3.525,19081.0,04/19/2012,
5040,VT,3.57,25899,02/20/2008,
5444,VT,3.57,14037.0,5-2-2012,
5301,VT,3.57,18955.0,08/24/2012,
5148,VT,3.6,37911,08/21/2008,
5401,VT,3.6,26752,07/27/2009,
5602,VT,3.6,40240.72,09/26/2008,
5301,VT,3.6,26730,9-8-2009,
5677,VT,3.6,45111,8-8-2008,
5001,VT,3.6,37024,05/23/2008,
5037,VT,3.6,32410,2-8-2008,
5403,VT,3.6,27412,11/18/2009,
5301,VT,3.6,30087,3-6-2008,
5071,VT,3.6,32424.87,11-8-2007,
5048,VT,3.6,24887,04/14/2006,
5667,VT,3.6,42973.94,12/21/2009,
5737,VT,3.6,25440.9,9-8-2011,
5839,VT,3.6,26864.0,08/13/2011,
5487,VT,3.6,19462.0,07/28/2011,
5403,VT,3.6,22400.0,04/18/2011,
5602,VT,3.6,28821.0,01/17/2011,
5602,VT,3.6,16622.0,10-1-2012,
5655,VT,3.675,26291.0,12-9-2010,
5906,VT,3.675,16635.0,11-9-2012,
5602,VT,3.68,,12/26/2012,
5673,VT,3.68,31534.0,06/14/2010,
5091,VT,3.68,24177.0,11/18/2011,
5651,VT,3.68,25698.0,01/24/2011,
5101,VT,3.68,19688.0,1-1-2011,
5826,VT,3.7,35396.35,10-9-2009,
5403,VT,3.7,24353,6-11-2009,
5841,VT,3.7,26714.15,11-7-2009,
5861,VT,3.7,26545,08/26/2009,
5492,VT,3.7,31435.48,11-12-2010,
5680,VT,3.7,29984.0,08/18/2011,
5676,VT,3.7,20700.0,06/21/2011,
5661,VT,3.7,24104.46,6-3-2011,
5461,VT,3.72,24245.18,09/13/2007,
5495,VT,3.75,18212.0,10/27/2011,
5346,VT,3.76,19928.0,12-6-2011,
5301,VT,3.76,19928.0,11-10-2011,
5842,VT,3.76,30000.0,07/28/2011,
5055,VT,3.76,20753.0,03/21/2012,
5495,VT,3.78,31073,9-12-2008,
5478,VT,3.78,26460.0,03/23/2010,
5101,VT,3.78,23200.0,11/27/2011,
5101,VT,3.78,18000.0,08/31/2011,
5346,VT,3.78,19500.0,04/18/2011,
5158,VT,3.78,23400.0,1-4-2011,
5464,VT,3.8,32130,5-11-2009,
5602,VT,3.8,31266,1-5-2009,
5052,VT,3.8,28244.89,12/19/2008,
5443,VT,3.8,31550,08/16/2007,
5055,VT,3.8,25840,7-7-2009,
5251,VT,3.8,34278.8,09/26/2008,
5489,VT,3.8,32084.84,5-1-2009,
5446,VT,3.8,35990,09/26/2008,
5038,VT,3.8,33970,6-6-2009,
5041,VT,3.8,11350.02,10/15/2010,
5072,VT,3.825,26128.0,9-10-2012,
5676,VT,3.84,,12/14/2012,
5091,VT,3.84,34202,01/28/2005,
5079,VT,3.84,32396.18,12-10-2004,
5445,VT,3.84,22579.0,06/27/2010,
5074,VT,3.84,22203.0,04/17/2010,
5070,VT,3.84,21503.0,04/17/2010,
5363,VT,3.84,21148.0,12/27/2011,
5462,VT,3.84,17365.0,09/18/2012,
5301,VT,3.84,15360.0,10/19/2012,
5764,VT,3.84,18780.0,11-12-2012,
5469,VT,3.85,45453,11-3-2008,
5651,VT,3.87,38415.94,8-8-2010,
5482,VT,3.87,28416.0,07/30/2010,
5091,VT,3.9,36393.83,01/23/2009,
5075,VT,3.9,26092.59,04/22/2009,
5457,VT,3.9,31000.0,07/14/2010,
5495,VT,3.9,18925.0,03/14/2012,
5738,VT,3.92,21229.02,6-10-2012,
5730,VT,3.92,19154.0,8-10-2012,
5070,VT,3.92,22148.0,6-12-2012,
